season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2021,NBA,Los Angeles Clippers,LAC,True,72.0,17280.0,3009.0,6242.0,0.482,1027.0,2498.0,0.411,1982.0,3744.0,0.529,1164.0,1387.0,0.839,678.0,2501.0,3179.0,1756.0,509.0,295.0,950.0,1383.0,8209.0
2021,NBA,Los Angeles Lakers,LAL,True,72.0,17455.0,2925.0,6197.0,0.472,796.0,2248.0,0.354,2129.0,3949.0,0.539,1241.0,1679.0,0.739,695.0,2490.0,3185.0,1775.0,562.0,386.0,1095.0,1377.0,7887.0
2021,NBA,Memphis Grizzlies,MEM,True,72.0,17405.0,3085.0,6608.0,0.467,803.0,2258.0,0.356,2282.0,4350.0,0.525,1184.0,1536.0,0.771,803.0,2543.0,3346.0,1938.0,655.0,364.0,957.0,1349.0,8157.0
2021,NBA,Miami Heat,MIA,True,72.0,17380.0,2824.0,6029.0,0.468,932.0,2606.0,0.358,1892.0,3423.0,0.553,1201.0,1520.0,0.79,579.0,2409.0,2988.0,1895.0,569.0,286.0,1013.0,1363.0,7781.0
2021,NBA,Milwaukee Bucks,MIL,True,72.0,17330.0,3221.0,6610.0,0.487,1038.0,2669.0,0.389,2183.0,3941.0,0.554,1169.0,1539.0,0.76,741.0,2724.0,3465.0,1834.0,585.0,334.0,995.0,1244.0,8649.0
2021,NBA,Minnesota Timberwolves,MIN,False,72.0,17405.0,2932.0,6546.0,0.448,944.0,2706.0,0.349,1988.0,3840.0,0.518,1265.0,1662.0,0.761,757.0,2376.0,3133.0,1846.0,632.0,398.0,1027.0,1507.0,8073.0
2021,NBA,New Orleans Pelicans,NOP,False,72.0,17430.0,3060.0,6412.0,0.477,762.0,2190.0,0.348,2298.0,4222.0,0.544,1369.0,1878.0,0.729,845.0,2568.0,3413.0,1872.0,545.0,315.0,1052.0,1295.0,8251.0
2021,NBA,New York Knicks,NYK,True,72.0,17430.0,2839.0,6225.0,0.456,847.0,2163.0,0.392,1992.0,4062.0,0.49,1181.0,1506.0,0.784,696.0,2554.0,3250.0,1541.0,507.0,365.0,932.0,1473.0,7706.0
2021,NBA,Oklahoma City Thunder,OKC,False,72.0,17355.0,2795.0,6338.0,0.441,857.0,2529.0,0.339,1938.0,3809.0,0.509,1113.0,1536.0,0.725,715.0,2568.0,3283.0,1588.0,504.0,316.0,1162.0,1305.0,7560.0
2021,NBA,Orlando Magic,ORL,False,72.0,17330.0,2754.0,6423.0,0.429,784.0,2288.0,0.343,1970.0,4135.0,0.476,1196.0,1543.0,0.775,747.0,2525.0,3272.0,1571.0,496.0,318.0,924.0,1237.0,7488.0
2021,NBA,Philadelphia 76ers,PHI,True,72.0,17430.0,2981.0,6257.0,0.476,811.0,2169.0,0.374,2170.0,4088.0,0.531,1409.0,1836.0,0.767,722.0,2522.0,3244.0,1706.0,655.0,447.0,1040.0,1456.0,8182.0
2021,NBA,Phoenix Suns,PHO,True,72.0,17480.0,3118.0,6357.0,0.49,940.0,2490.0,0.378,2178.0,3867.0,0.563,1124.0,1347.0,0.834,630.0,2462.0,3092.0,1939.0,517.0,312.0,902.0,1374.0,8300.0
2021,NBA,Portland Trail Blazers,POR,True,72.0,17305.0,2973.0,6558.0,0.453,1132.0,2939.0,0.385,1841.0,3619.0,0.509,1282.0,1558.0,0.823,766.0,2441.0,3207.0,1531.0,496.0,363.0,799.0,1362.0,8360.0
2021,NBA,Sacramento Kings,SAC,False,72.0,17305.0,3067.0,6382.0,0.481,874.0,2400.0,0.364,2193.0,3982.0,0.551,1181.0,1585.0,0.745,674.0,2307.0,2981.0,1836.0,543.0,358.0,963.0,1400.0,8189.0
2021,NBA,San Antonio Spurs,SAS,False,72.0,17480.0,3014.0,6518.0,0.462,716.0,2046.0,0.35,2298.0,4472.0,0.514,1254.0,1584.0,0.792,669.0,2489.0,3158.0,1759.0,505.0,366.0,821.0,1293.0,7998.0
2021,NBA,Toronto Raptors,TOR,False,72.0,17305.0,2859.0,6383.0,0.448,1041.0,2831.0,0.368,1818.0,3552.0,0.512,1252.0,1536.0,0.815,680.0,2314.0,2994.0,1735.0,618.0,389.0,952.0,1526.0,8011.0
2021,NBA,Utah Jazz,UTA,True,72.0,17355.0,2971.0,6344.0,0.468,1205.0,3098.0,0.389,1766.0,3246.0,0.544,1235.0,1546.0,0.799,765.0,2709.0,3474.0,1703.0,474.0,371.0,1023.0,1335.0,8382.0
2021,NBA,Washington Wizards,WAS,True,72.0,17405.0,3108.0,6547.0,0.475,733.0,2088.0,0.351,2375.0,4459.0,0.533,1449.0,1884.0,0.769,697.0,2557.0,3254.0,1835.0,528.0,297.0,1037.0,1555.0,8398.0
2021,NBA,League Average,,False,72.0,17383.0,2967.0,6366.0,0.466,914.0,2494.0,0.367,2053.0,3872.0,0.53,1222.0,1571.0,0.778,708.0,2482.0,3190.0,1786.0,545.0,351.0,996.0,1389.0,8071.0
2020,NBA,Atlanta Hawks,ATL,False,67.0,16280.0,2723.0,6067.0,0.449,805.0,2416.0,0.333,1918.0,3651.0,0.525,1237.0,1566.0,0.79,661.0,2237.0,2898.0,1605.0,523.0,341.0,1086.0,1548.0,7488.0
2020,NBA,Boston Celtics,BOS,True,72.0,17430.0,2971.0,6448.0,0.461,905.0,2487.0,0.364,2066.0,3961.0,0.522,1336.0,1668.0,0.801,768.0,2549.0,3317.0,1655.0,595.0,406.0,995.0,1553.0,8183.0
2020,NBA,Brooklyn Nets,BRK,True,72.0,17480.0,2908.0,6498.0,0.448,941.0,2746.0,0.343,1967.0,3752.0,0.524,1291.0,1732.0,0.745,766.0,2683.0,3449.0,1761.0,464.0,323.0,1099.0,1510.0,8048.0
2020,NBA,Chicago Bulls,CHI,False,65.0,15675.0,2573.0,5762.0,0.447,793.0,2282.0,0.348,1780.0,3480.0,0.511,1006.0,1332.0,0.755,680.0,2041.0,2721.0,1510.0,652.0,265.0,1005.0,1417.0,6945.0
2020,NBA,Charlotte Hornets,CHO,False,65.0,15750.0,2425.0,5586.0,0.434,785.0,2231.0,0.352,1640.0,3355.0,0.489,1052.0,1406.0,0.748,715.0,2066.0,2781.0,1549.0,428.0,268.0,949.0,1223.0,6687.0
2020,NBA,Cleveland Cavaliers,CLE,False,65.0,15725.0,2619.0,5715.0,0.458,727.0,2070.0,0.351,1892.0,3645.0,0.519,983.0,1296.0,0.758,704.0,2172.0,2876.0,1500.0,447.0,211.0,1073.0,1188.0,6948.0
2020,NBA,Dallas Mavericks,DAL,True,75.0,18175.0,3124.0,6772.0,0.461,1136.0,3095.0,0.367,1988.0,3677.0,0.541,1392.0,1787.0,0.779,791.0,2729.0,3520.0,1849.0,460.0,363.0,953.0,1462.0,8776.0
